title,actual_price,dis,after_dis_price,link,rating,no_of_rating
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Laptop  (15.6 inch, Platinum Silver, 1.62 Kg, With MS Office)","72,598",24% off,"54,500",https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itmfccecc2f46323?pid=COMHYGBZY5R8UDWQ&lid=LSTCOMHYGBZY5R8UDWQSQQXW4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMHYGBZY5R8UDWQ.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,533 Ratings & 30 Reviews
"Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/1 TB SSD/Windows 11 Home) AL15-52 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 Kg)","49,990",26% off,"36,990",https://www.flipkart.com/acer-aspire-lite-intel-core-i3-12th-gen-1215u-16-gb-1-tb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm64dd8f4c2600b?pid=COMGWKF2XK3S2P46&lid=LSTCOMGWKF2XK3S2P46HNBSFY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_111&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGWKF2XK3S2P46.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,675 Ratings & 59 Reviews
"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Thin and Light Laptop  (15.6 Inch, Blue, 1.76 Kg)","29,990",40% off,"17,990",https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-n5100-4-gb-128-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm01497208068d1?pid=COMGQHVMVZZRGYWQ&lid=LSTCOMGQHVMVZZRGYWQI6R93P&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_112&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGQHVMVZZRGYWQ.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,3.9,"1,117 Ratings & 121 Reviews"
"Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-59XW/ PHN16-71-553K/ PHN 16-71 Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)","1,29,999",26% off,"94,990",https://www.flipkart.com/acer-predator-neo-intel-core-i5-13th-gen-13500hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-phn16-71-59xw-phn16-71-553k-phn-16-71-gaming-laptop/p/itm4295aa0d4297e?pid=COMGZS9G8GX9YSRH&lid=LSTCOMGZS9G8GX9YSRHZZOW7Z&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_113&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGZS9G8GX9YSRH.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.4,711 Ratings & 71 Reviews
"Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook  (14 inch, Abyss Blue, 1.3 Kg)","30,790",35% off,"19,990",https://www.flipkart.com/lenovo-chromebook-mediatek-kompanio-520-8-gb-128-gb-emmc-storage-chrome-os-14m868/p/itmfb7cbe9798b0e?pid=COMGTR89FPA5ZWVC&lid=LSTCOMGTR89FPA5ZWVCASD6KX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_114&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGTR89FPA5ZWVC.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,3.8,876 Ratings & 66 Reviews
"Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 Kg, With MS Office)","49,990",34% off,"32,990",https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm47e3df39ebeb9?pid=COMH2TPSHCGSZY44&lid=LSTCOMH2TPSHCGSZY44YKMZCU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMH2TPSHCGSZY44.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,15 Ratings & 3 Reviews
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 Kg)","79,990",37% off,"49,990",https://www.flipkart.com/acer-aspire-lite-backlit-keyboard-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm8d613af854843?pid=COMH2TPS6EYHZMHF&lid=LSTCOMH2TPS6EYHZMHFVCSFDY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMH2TPS6EYHZMHF.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.3,40 Ratings & 2 Reviews
"Lenovo AMD Ryzen 3 Octa Core - (8 GB/512 GB SSD/Windows 11 Home) G4 82YTA00XIN Laptop  (14 inch, Silver Grey, With MS Office)","65,667",58% off,"26,990",https://www.flipkart.com/lenovo-amd-ryzen-3-octa-core-8-gb-512-gb-ssd-windows-11-home-g4-82yta00xin-laptop/p/itm26138c67d404e?pid=COMGT7FUFCHEH9Z9&lid=LSTCOMGT7FUFCHEH9Z9TPQGN3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGT7FUFCHEH9Z9.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,60 Ratings & 9 Reviews
"Infinix Y3 Max Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) YL613 Thin and Light Laptop  (16 Inch, Silver, 1.78 Kg)","44,990",46% off,"23,990",https://www.flipkart.com/infinix-y3-max-series-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm0d3ada4211d32?pid=COMH34U3MZTBMZYE&lid=LSTCOMH34U3MZTBMZYEKROQ8A&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMH34U3MZTBMZYE.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.3,251 Ratings & 44 Reviews
"Colorful P15 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) P15 23-HF76B16512E-G-IND Gaming Laptop  (15.6 Inch, Gray, 2.4 Kg)","1,19,999",38% off,"73,990",https://www.flipkart.com/colorful-p15-intel-core-i7-12th-gen-12650h-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4060-23-hf76b16512e-g-ind-gaming-laptop/p/itm8c0007553e7e3?pid=COMGZKFB6VY8RGFG&lid=LSTCOMGZKFB6VY8RGFGHSFEPU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGZKFB6VY8RGFG.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.3,108 Ratings & 22 Reviews
